Link,Item Name,Product SKU,Image,Manufacturer Product Number,Type,Price,Description,"Details (Color, Dimensions including seat heigh, overall height, overall width, overall depth, net weight, material)"
,"Folding Chair, Plastic - White",CHR-PLA-W,"Folding Chair, Plastic - White.png",PC05,Chair,$1.95,"A practical and timeless essential for any gathering, this white plastic folding chair offers a clean, versatile look that fits effortlessly into any setting, indoors or out. Lightweight and easy to arrange, it’s a simple way to create comfortable and welcoming seating for guests.",
,"Folding Chair, Plastic - Black",CHR-PLA-B,none,PC05,Chair,$1.95,"A practical and timeless essential for any event, this black plastic folding chair offers a clean and versatile look that fits easily into any setting. Lightweight and simple to set up, it’s a practical choice for creating comfortable seating in both indoor and outdoor spaces.",
,Chiavari Chair - Gold,CHR-CHI-G,Chiavari Chair - Gold.png,EF-RC10,Chair,$8.00,"A classic favorite that adds a touch of warmth and polish to any event. The gold Chiavari chair features a timeless silhouette that pairs beautifully with formal dinners, weddings, and celebrations. Made from durable resin with a smooth finish, it brings style and sophistication without compromising on comfort or ease of setup",
,Chiavari Chair - Silver,CHR-CHI-S,none,EF-RC,Chair,$8.00,"A timeless seating choice with a cool, modern tone. The silver Chiavari chair adds a subtle touch of elegance to any event, complementing a wide range of color palettes and styles. Its classic silhouette and smooth finish make it a favorite for weddings, galas, and refined gatherings",
,Chiavari Chair - White,CHR-CHI-W,Chiavari Chair - White.png,EF-RC12,Chair,$8.00,"A timeless favorite that brings a bright and polished look to any event. The white Chiavari chair complements any color scheme with its crisp, clean finish and classic design. Perfect for weddings, celebrations, or formal gatherings, it adds a touch of simple elegance to every setting",
,Chiavari Chair - Black,CHR-CHI-B,none,EF-RC,Chair,$8.00,"A sleek and sophisticated choice that adds modern elegance to any event setting. The black Chiavari chair features a smooth, refined finish and timeless silhouette, making it perfect for galas, corporate functions, and evening celebrations. Its deep tone offers striking contrast and a polished look that complements any décor.",
,Crossback Chair - Mahogany,CHR-CRS-M,Crossback Chair - Mahogany.png,WR04,Chair,$9.50,"A rustic classic that brings warmth and character to any event. The dark brown crossback chair features a rich, wood-inspired finish and curved silhouette that pairs beautifully with outdoor gatherings, barn settings, or intimate indoor celebrations. Its timeless design adds natural charm and effortless style to every occasion.",
,Crossback Chair - Natural,CHR-CRS-N,Crossback Chair - Natural.png,WC05,Chair,$10.00,"A timeless classic with natural warmth. Crafted from wood, this natural crossback chair features a light finish and graceful silhouette, adding effortless charm to both indoor and outdoor celebrations.",
,Curved Cane Back Chair,CHR-CUR-N,Curved Cane Back Chair.png,WCT03,Chair,$30.00,"A refined blend of texture and warmth. The curved cane back chair features a gently contoured wooden frame with a woven cane back and cushioned seat, bringing an airy, natural elegance to both indoor gatherings and covered outdoor events.",
,Ghost Chair - Clear,CHR-GHO-C,Ghost Chair - Clear.png,EF-RC19,Chair,$17.00,"A modern favorite known for its clean, sculptural silhouette and barely-there presence. The transparent ghost chair adds a contemporary touch while allowing surrounding design elements to shine. Perfect for both minimalist and elegant settings, it offers a stylish balance of sophistication and simplicity",
,Resin Folding Chair - White,CHR-REF-W,Resin Folding Chair - White.png,,Chair,$3.25,"A classic event staple with a polished look and practical design. The white resin folding chair features a smooth, elegant finish with a padded seat for added comfort. Ideal for weddings, ceremonies, and celebrations, it offers a simple way to elevate seating while keeping setup easy and efficient.",
,Resin Folding Chair - Mahogany,CHR-REF-M,none,,Chair,$3.25,"A classic seating option that combines rich warmth with versatile style. The mahogany resin folding chair features a smooth wood-look finish and padded seat, offering both comfort and a refined appearance. Perfect for weddings, dinners, or special occasions, it brings an inviting touch to any event setting.",
,Resin Folding Chair - Black,CHR-REF-B,none,,Chair,$3.25,"A classic choice with a sleek, modern feel. The black resin folding chair features a smooth finish and padded seat, combining comfort with a clean, polished look. Ideal for both indoor and outdoor events, it adds a touch of understated style to any setting.",
,French Country Chair,CHR-FRC-N,French Country Chair.png,WR12 (resin) WC01 (wood),Chair,$30.00,"A charming blend of rustic and refined style, the French Country chair brings a touch of relaxed elegance to any event. Crafted in a natural wood-look resin with graceful curves and a classic silhouette, it pairs beautifully with both romantic and contemporary settings, offering a warm and inviting aesthetic.",
,Napoleon Chair - Clear,CHR-NAP-N,Napoleon Chair - Clear.png,EF-RC08,Chair,$17.00,"A modern take on a timeless classic, the clear Napoleon chair adds a touch of sophistication without overpowering your event design. Its transparent finish and elegant detailing create a light, airy look that complements both contemporary and traditional settings, making it a versatile favorite for any celebration.",
,Lani Chair,CHR-LAN-N,Lani Chair,WC04,Chair,$10.50,"A relaxed and inviting seating option with subtle coastal charm. The Lani Chair features a woven rattan-style back and a smooth, real wood frame, blending natural texture and warmth in a timeless design. Perfect for garden parties, outdoor celebrations, or casual indoor gatherings, it adds an effortless, organic touch to any setting.",
,Cane Chair,CHR-CAN-N,Cane Chair,WR06,Chair,$14.00,"A graceful blend of classic and organic design, the Cane Chair features a gently curved resin frame and woven back that evoke a timeless, airy feel. Its warm natural finish and bentwood-inspired silhouette make it a beautiful choice for both outdoor and indoor gatherings, adding an element of relaxed elegance to any event setting.",
,Bentwood Chair - Black,CHR-BEN-B,none,(resin),Chair,$9.00,"A sleek and timeless design. The black Bentwood chair features graceful curves and a smooth silhouette that bring understated charm to any event. Its versatile look complements both modern and traditional settings, adding a touch of effortless style to any occasion.",
,Bentwood Chair - Natural,CHR-BEN-N,"Bentwood Chair, Natural.png",WR07 (resin),Chair,$9.00,"A timeless design with gentle curves and a warm, natural finish. The Bentwood chair offers a clean, classic look that pairs beautifully with a wide range of event styles. Simple yet elegant, it adds a welcoming and versatile touch to any setting.",
,Atelier Bronze Metal Bar Stool,CHR-BAR-B,Atelier Bronze Metal Bar Stool.png,Seating Masters - Distressed Bronze Bistro,Chair,$17.00,"Sleek and understated with an industrial edge. The Atelier Bronze Metal Bar Stool features a sculpted metal frame in a warm bronze finish, offering a refined yet modern accent for bars, cocktail receptions, and elevated lounge settings.",
,"30"" Cocktail Table w/ 30"" and 42"" poles",TBL-COC-30,"30"" Cocktail Table w/ 30"" and 42"" poles.png",,Table,$11.00,n/a,
,6' Rectangular Table,TBL-REC-6,6' Rectangular Table.png,WT10B:182*76W*76H (cm),Table,$10.00,n/a,
,Kings Table,TBL-KNG,King's Table.png,,Table,$20.00,n/a,
,"60"" Round Table",TBL-ROU-60,"60"" Round Table.png",WT10:150cm (D),Table,$12.00,n/a,
,"72"" Round Table",TBL-ROU-72,"72"" Round Table.png",WT09:180cm (D),Table,$16.00,n/a,
,"36"" Round Table",TBL-ROU-36,"36"" Round Table.png",,Table,$9.50,n/a,
,Serpintine Table,TBL-SER,Serpentine Table,,Table,$17.00,n/a,
,10'x10' Canopy Tent,TNT-1010C-W,10'x10' Canopy Tent.png,,Tent,$80.00,n/a,
,10'x20' Canopy Tent,TNT-1020C-W,10'x20' Canopy Tent.png,,Tent,$150.00,n/a,
,20'x20' Frame Tent,TNT-2020F-W,,,Tent,$650.00,n/a,
,20'x40' Frame Tent,TNT-2040F-W,,,Tent,"$1,200.00",n/a,
,Children's Chair,CHR-CHL-W,Children's Chair.png,,Chair,$2.00,"A simple, timeless chair designed for little guests. Featuring a lightweight metal frame with a clean white seat, it blends effortlessly into any event setting.",
,Director's Chair,CHR-DIR-N,Director's Chair.png,,Chair,$20.00,"This wooden director’s chair features a natural wood frame with black canvas seat and back, making it ideal for styling lounges and on-stage settings with a clean, iconic look.",