Link,Item name,Manufacturer Product Number (internal),Type,Price,Stock,Status,Website Name,Description,"Details (Color, Dimensions including seat heigh, overall height, overall width, overall depth, net weight, material)"
,Plastic Samsonite Chairs - White,PC05,Chair,$1.95,,Temporarily unavailable,"Folding Chair, Plastic - White","A practical and timeless essential for any gathering, this white plastic folding chair offers a clean, versatile look that fits effortlessly into any setting, indoors or out. Lightweight and easy to arrange, it’s a simple way to create comfortable and welcoming seating for guests.",
,Plastic Samsonite Chairs - Black,PC05,Chair,$1.95,,Temporarily unavailable,"Folding Chair, Plastic - Black","A practical and timeless essential for any event, this black plastic folding chair offers a clean and versatile look that fits easily into any setting. Lightweight and simple to set up, it’s a practical choice for creating comfortable seating in both indoor and outdoor spaces.",
,Chiavari Chairs - Gold (resin),EF-RC10,Chair,$8.00,,Temporarily unavailable,Chiavari Chair - Gold,"A classic favorite that adds a touch of warmth and polish to any event. The gold Chiavari chair features a timeless silhouette that pairs beautifully with formal dinners, weddings, and celebrations. Made from durable resin with a smooth finish, it brings style and sophistication without compromising on comfort or ease of setup",
,Chiavari Chairs - Silver,EF-RC,Chair,$8.00,,Temporarily unavailable,Chiavari Chair - Silver,"A timeless seating choice with a cool, modern tone. The silver Chiavari chair adds a subtle touch of elegance to any event, complementing a wide range of color palettes and styles. Its classic silhouette and smooth finish make it a favorite for weddings, galas, and refined gatherings",
,Chiavari Chairs - White,EF-RC12,Chair,$8.00,,Temporarily unavailable,Chiavari Chair - White,"A timeless favorite that brings a bright and polished look to any event. The white Chiavari chair complements any color scheme with its crisp, clean finish and classic design. Perfect for weddings, celebrations, or formal gatherings, it adds a touch of simple elegance to every setting",
,Chiavari Chairs - Mahogany Brown,EF-RC,Chair,$8.00,,Temporarily unavailable,Chiavari Chair - Mahogany,"A classic choice that adds warmth and depth to any event setting. The mahogany brown Chiavari chair features a rich wood tone and timeless silhouette, making it ideal for both rustic and formal occasions. Its natural finish brings an inviting, refined touch to any gathering.",
,Crossback Chairs - dark brown (resin),WR04,Chair,$9.50,,Temporarily unavailable,Crossback Chair - Mahogany,"A rustic classic that brings warmth and character to any event. The dark brown crossback chair features a rich, wood-inspired finish and curved silhouette that pairs beautifully with outdoor gatherings, barn settings, or intimate indoor celebrations. Its timeless design adds natural charm and effortless style to every occasion.",
,Crossback Chairs - natural (wood),WC05,Chair,$10.00,,Temporarily unavailable,,,
,Curved Cane Back Chair (wood),WCT03,Chair,$30.00,,Temporarily unavailable,Curved Cane Back Chair,,
,Ghost Chairs - Transparent,EF-RC19,Chair,$17.00,,Temporarily unavailable,Ghost Chair - Clear,"A modern favorite known for its clean, sculptural silhouette and barely-there presence. The transparent ghost chair adds a contemporary touch while allowing surrounding design elements to shine. Perfect for both minimalist and elegant settings, it offers a stylish balance of sophistication and simplicity",
,Resin Folding Chairs - white,,Chair,$3.25,,Temporarily unavailable,Resin Folding Chair - White,"A classic event staple with a polished look and practical design. The white resin folding chair features a smooth, elegant finish with a padded seat for added comfort. Ideal for weddings, ceremonies, and celebrations, it offers a simple way to elevate seating while keeping setup easy and efficient.",
,Resin Folding Chairs - mahogany,,Chair,$3.25,,Temporarily unavailable,Resin Folding Chair - Mahogany,"A classic seating option that combines rich warmth with versatile style. The mahogany resin folding chair features a smooth wood-look finish and padded seat, offering both comfort and a refined appearance. Perfect for weddings, dinners, or special occasions, it brings an inviting touch to any event setting.",
,Resin Folding Chairs - black,,Chair,$3.25,,Temporarily unavailable,Resin Folding Chair - Black,"A classic choice with a sleek, modern feel. The black resin folding chair features a smooth finish and padded seat, combining comfort with a clean, polished look. Ideal for both indoor and outdoor events, it adds a touch of understated style to any setting.",
,French Country Chair (resin),WR12 (resin) WC01 (wood),Chair,$30.00,,Temporarily unavailable,French Country Chair,"A charming blend of rustic and refined style, the French Country chair brings a touch of relaxed elegance to any event. Crafted in a natural wood-look resin with graceful curves and a classic silhouette, it pairs beautifully with both romantic and contemporary settings, offering a warm and inviting aesthetic.",
,Napoleon Chair,EF-RC08,Chair,$17.00,,Temporarily unavailable,Napoleon Chair - Clear,"A modern take on a timeless classic, the clear Napoleon chair adds a touch of sophistication without overpowering your event design. Its transparent finish and elegant detailing create a light, airy look that complements both contemporary and traditional settings, making it a versatile favorite for any celebration.",
,Rattan Chair,"WR20 (resin), WC04 (wood)",Chair,$10.50,,Temporarily unavailable,Lani Chair,"A relaxed and inviting seating option with subtle coastal charm. The Lani chair features a woven rattan-style back and a smooth natural resin frame, blending texture and warmth in a timeless design. Perfect for garden parties, outdoor celebrations, or casual indoor gatherings, it adds an effortless, organic touch to any setting.",
,Cane Chair,WR06,,$14.00,,Temporarily unavailable,Cane Chair,"A graceful blend of classic and organic design, the Natural Cane Chair features a gently curved frame and woven cane back that evoke a timeless, airy feel. Its warm natural finish and bentwood-inspired silhouette make it a beautiful choice for both outdoor and indoor gatherings, adding an element of relaxed elegance to any event setting.",
,Bentwood Chair - Black,(resin),Chair,$9.00,,Temporarily unavailable,Bentwood Chair - Black,"A sleek and timeless design. The black Bentwood chair features graceful curves and a smooth silhouette that bring understated charm to any event. Its versatile look complements both modern and traditional settings, adding a touch of effortless style to any occasion.",
,Bentwood Chair - Natural,WR07 (resin),Chair,$9.00,,Temporarily unavailable,Bentwood Chair - Natural,"A timeless design with gentle curves and a warm, natural finish. The Bentwood chair offers a clean, classic look that pairs beautifully with a wide range of event styles. Simple yet elegant, it adds a welcoming and versatile touch to any setting.",
,Barstool 1,,,,,,,,
,Barstool 2,,,,,,,,
,"30"" Cocktail Table w/ 30"" and 42"" poles",,Table,$11.00,,Temporarily unavailable,,,
,6' Rectangular Table,WT10B:182*76W*76H (cm),Table,$10.00,,Temporarily unavailable,,,
,Kings Table,,Table,$20.00,,,,,
,Conference Table,,Table,$15.00,,,,,
,"60"" Round Table",WT10:150cm (D),Table,$12.00,,Temporarily unavailable,,,
,"72"" Round Table",WT09:180cm (D),Table,$16.00,,Temporarily unavailable,,,
,"36"" Round Table",,Table,$9.50,,Temporarily unavailable,,,
,Serpintine Table,,Table,$17.00,,Temporarily unavailable,,,
,10'x10',,Tent,,,Temporarily unavailable,,,
,10'x20',,Tent,,,Temporarily unavailable,,,
,Canopy,,Tent,,,Temporarily unavailable,,,
,Children's Chair,,Chair,,,Temporarily unavailable,,,
,Director's Chair,,Chair,,,Temporarily unavailable,,,
,Podium - Acrylic,,,,,Temporarily unavailable,,,